City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Aswan,EG,24.0934,32.907,79.38,27,65,5.35,broken clouds
251,Natal,BR,-5.795,-35.2094,77.65,94,75,3.44,broken clouds
252,Auki,SB,-8.7676,160.7034,85.71,68,99,0.49,overcast clouds
253,Tilichiki,RU,60.4667,166.1,31.46,99,100,6.71,overcast clouds
254,Louiseville,CA,46.2559,-72.9415,50.95,82,100,7.92,overcast clouds
255,Tarboro,US,35.8968,-77.5358,64.31,94,40,5.75,scattered clouds
256,Mitsamiouli,KM,-11.3847,43.2844,80.35,78,85,3.38,overcast clouds
257,Upington,ZA,-28.4478,21.2561,57.0,33,0,9.48,clear sky
258,Port Blair,IN,11.6667,92.75,80.64,89,75,2.3,mist
259,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,73.81,99,100,1.77,very heavy rain
260,Dingli,MT,35.8614,14.3822,59.81,94,0,4.61,clear sky
261,Ambon,ID,-3.6954,128.1814,86.14,74,20,2.3,few clouds
262,Misratah,LY,32.3754,15.0925,64.2,76,18,12.88,few clouds
263,Kalmunai,LK,7.4167,81.8167,80.29,81,100,3.47,overcast clouds
264,Half Moon Bay,US,37.4636,-122.4286,66.18,67,0,23.02,haze
265,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.49,88,5,8.75,clear sky
266,Tulun,RU,54.5611,100.5792,42.58,48,100,13.73,overcast clouds
267,Ryotsu,JP,38.0833,138.4333,56.71,55,100,2.62,overcast clouds
268,Sao Sepe,BR,-30.1606,-53.5653,68.72,98,64,5.19,broken clouds
269,Kokopo,PG,-4.352,152.2633,84.94,66,15,4.0,few clouds
270,Pareora,NZ,-44.4871,171.2132,58.17,92,65,10.0,broken clouds
271,Yerbogachen,RU,61.2767,108.0108,33.75,70,28,9.98,scattered clouds
272,Mahuva,IN,21.0914,71.7622,82.67,46,0,6.98,clear sky
273,Sotouboua,TG,8.5667,0.9833,78.06,74,100,6.11,overcast clouds
274,Puro,PH,12.4841,123.3827,82.78,78,100,11.03,overcast clouds
275,Rawson,AR,-43.3002,-65.1023,53.4,28,100,14.83,overcast clouds
276,Honningsvag,NO,70.9821,25.9704,20.95,68,20,18.41,few clouds
277,Bilibino,RU,68.0546,166.4372,30.97,80,100,4.14,overcast clouds
278,Beringovskiy,RU,63.05,179.3167,32.47,99,100,7.92,overcast clouds
279,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,91.18,36,97,15.17,light rain
280,Lavrentiya,RU,65.5833,-171.0,26.56,83,61,1.77,broken clouds
281,Bintulu,MY,3.1667,113.0333,75.51,94,100,2.89,overcast clouds
282,Taoudenni,ML,22.6783,-3.9836,75.9,25,0,10.92,clear sky
283,Ugoofaaru,MV,5.6667,73.0,84.7,69,95,2.37,overcast clouds
284,Nyimba,ZM,-14.5566,30.8149,65.16,86,49,4.9,scattered clouds
285,Sibolga,ID,1.7427,98.7792,81.27,74,100,1.45,overcast clouds
286,Hovd,MN,48.0056,91.6419,40.1,36,87,1.86,overcast clouds
287,Paraibano,BR,-6.4331,-43.9836,72.18,77,2,2.55,clear sky
288,Bambous Virieux,MU,-20.3428,57.7575,73.65,88,20,9.22,light rain
289,Padang,ID,-0.9492,100.3543,80.65,78,41,3.22,scattered clouds
290,Ikom,NG,5.9667,8.7063,77.22,88,100,1.21,overcast clouds
291,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,79,40,8.05,scattered clouds
292,Tadine,NC,-21.55,167.8833,76.32,58,100,17.34,overcast clouds
293,Ambilobe,MG,-13.2,49.05,69.85,85,84,3.44,broken clouds
